Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
361	-999	Water	SD	-999	58,7	3,2197		171,78	0		405709
362	-999	Water	SD	-999	59,6	3,2255		171,78	0		405767
363	-999	Water	SD	-999	60,3	3,2254		171,78	0		405816
364	-999	Water	SD	-999	60,4	3,2426		171,78	0		405866
365	-999	Water	SD	-999	61,2	3,2312		171,78	0		405923
366	-999	Water	SD	-999	60,7	3,2542		171,78	0		405973
367	-999	Water	SD	-999	61,9	3,2371		171,78	0		406025
368	-999	Water	SD	-999	63,2	3,2426		171,78	0		406071
369	-999	Water	SD	-999	63,7	3,2369		171,78	0		406112
370	-999	Water	SD	-999	65,2	3,2484		171,78	0		406162
371	-999	Water	SD	-999	65,4	3,2312		171,78	0		406206
372	-999	Water	SD	-999	65,8	3,237		171,78	0		406253
373	-999	Water	SD	-999	66,4	3,2427		171,78	0		406306
374	-999	Water	SD	-999	66,3	3,2426		171,78	0		406350
375	-999	Water	SD	-999	67,1	3,2484		171,78	0		406393
376	-999	Water	SD	-999	66,6	3,2484		171,78	0		406443
377	-999	Water	SD	-999	66,7	3,2427		171,78	0		406486
378	-999	Water	SD	-999	66,8	3,2369		171,78	0		406534
379	-999	Water	SD	-999	67,1	3,2426		171,78	0		406578
380	-999	Water	SD	-999	67,1	3,2484		171,78	0		406630
381	-999	Water	SD	-999	66,5	3,2369		171,78	0		406675
382	-999	Water	SD	-999	66,8	3,2484		171,78	0		406723
383	-999	Water	SD	-999	67,2	3,2368		171,78	0		406774
384	-999	Water	SD	-999	66,7	3,2484		171,78	0		406829
385	-999	Water	SD	-999	66,4	3,2484		171,78	0		406878
386	-999	Water	SD	-999	67,3	3,2426		171,78	0		406944
387	-999	Water	SD	-999	66,9	3,2312		171,78	0		406987
388	-999	Water	SD	-999	66,7	3,2369		171,78	0		407035
389	-999	Water	SD	-999	66,5	3,2484		171,78	0		407087
390	-999	Water	SD	-999	66,7	3,237		171,78	0		407134
391	-999	Water	SD	-999	66,5	3,2368		171,78	0		407175
392	-999	Water	SD	-999	66,8	3,2312		171,78	0		407225
393	-999	Water	SD	-999	66,7	3,2484		171,78	0		407267
394	-999	Water	SD	-999	66,6	3,2426		171,78	0		407318
395	-999	Water	SD	-999	66,9	3,2484		171,78	0		407367
396	-999	Water	SD	-999	66,8	3,2368		171,78	0		407413
397	-999	Water	SD	-999	66,6	3,2484		171,78	0		407454
398	-999	Water	SD	-999	66,7	3,2426		171,78	0		407517
399	-999	Water	SD	-999	66,9	3,2426		171,78	0		407568
400	-999	Water	SD	-999	67,1	3,2426		171,78	0		407615
401	-999	Water	SD	-999	66,7	3,2369		171,78	0		407673
402	-999	Water	SD	-999	67	3,2426		171,78	0		407725
403	-999	Water	SD	-999	66,5	3,2542		171,78	0		407767
404	-999	Water	SD	-999	66,4	3,237		171,78	0		407817
405	-999	Water	SD	-999	67	3,2426		171,78	0		407868
406	-999	Water	SD	-999	66,5	3,2428		171,78	0		407915
407	-999	Water	SD	-999	66,4	3,2312		171,78	0		407959
408	-999	Water	SD	-999	66,7	3,2484		171,78	0		408007
409	-999	Water	SD	-999	66,8	3,2542		171,78	0		408049
410	-999	Water	SD	-999	66,8	3,2542		171,78	0		408110
411	-999	Water	SD	-999	66,8	3,2484		171,78	0		408163
412	-999	Water	SD	-999	66,7	3,2426		171,78	0		408205
413	-999	Water	SD	-999	66,7	3,2428		171,78	0		408255
414	-999	Water	SD	-999	66,7	3,2484		171,78	0		408321
415	-999	Water	SD	-999	66,7	3,2426		171,78	0		408365
416	-999	Water	SD	-999	66,7	3,2426		171,78	0		408423
417	-999	Water	SD	-999	66,6	3,2368		171,78	0		408475
418	-999	Water	SD	-999	66,6	3,2368		171,78	0		408518
419	-999	Water	SD	-999	66,6	3,2426		171,78	0		408568
420	-999	Water	SD	-999	66,7	3,2368		171,78	0		408614
421	-999	Water	SD	-999	66,9	3,2426		171,78	0		408665
